TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36946689,650101,002,2015-02-28 00:00:00.000000000,11:34,00463,47192
36946691,650101,002,2015-02-28 00:00:00.000000000,11:59,00463,0
36946693,650101,002,2015-02-28 00:00:00.000000000,18:27,00463,0
36946694,650101,002,2015-02-28 00:00:00.000000000,18:31,00463,1425163
36946696,650101,002,2015-02-28 00:00:00.000000000,19:20,00463,1837649
36946697,650101,002,2015-02-28 00:00:00.000000000,20:18,00463,0
36946711,650101,002,2015-02-28 00:00:00.000000000,13:08,00463,1384840
36946713,650101,002,2015-02-28 00:00:00.000000000,17:53,00463,224781
36946717,650101,002,2015-02-28 00:00:00.000000000,20:02,00463,1784091
36946726,65010,001,2015-02-28 00:00:00.000000000,13:21,00463,0
36946727,65010,001,2015-02-28 00:00:00.000000000,18:18,00463,2044581
36946731,650101,002,2015-02-28 00:00:00.000000000,11:17,00463,217220
36946733,650101,002,2015-02-28 00:00:00.000000000,12:41,00463,185812
36946734,650101,002,2015-02-28 00:00:00.000000000,12:55,00463,0
36946736,650101,002,2015-02-28 00:00:00.000000000,21:23,00463,45985
36946742,65010,001,2015-02-28 00:00:00.000000000,12:56,00463,1407402
36946743,65010,001,2015-02-28 00:00:00.000000000,15:42,00463,49152
36946745,650101,002,2015-02-28 00:00:00.000000000,15:34,00463,1049447
36946746,650101,002,2015-02-28 00:00:00.000000000,17:31,00463,824864
36946747,650101,002,2015-02-28 00:00:00.000000000,18:54,00463,0
36946782,65010,001,2015-02-28 00:00:00.000000000,12:08,00463,1744265
36946785,65010,001,2015-02-28 00:00:00.000000000,19:28,00463,391692
36946790,650101,002,2015-02-28 00:00:00.000000000,12:08,00463,0
36946792,650101,002,2015-02-28 00:00:00.000000000,13:17,00463,830734
36946793,650101,002,2015-02-28 00:00:00.000000000,13:37,00463,885684
36946794,650101,002,2015-02-28 00:00:00.000000000,13:57,00463,927681
36946795,650101,002,2015-02-28 00:00:00.000000000,14:41,00463,0
36946797,650101,002,2015-02-28 00:00:00.000000000,16:33,00463,1984672
36946798,650101,002,2015-02-28 00:00:00.000000000,16:57,00463,0
36946876,65010,001,2015-02-28 00:00:00.000000000,16:41,00463,0
36946877,65010,001,2015-02-28 00:00:00.000000000,18:04,00463,259155
36946878,65010,001,2015-02-28 00:00:00.000000000,19:38,00463,1716750
36946880,650101,002,2015-02-28 00:00:00.000000000,13:46,00463,0
36946882,650101,002,2015-02-28 00:00:00.000000000,19:17,00463,2015695
36946884,650101,002,2015-02-28 00:00:00.000000000,21:29,00463,694406
36946895,650101,002,2015-02-28 00:00:00.000000000,18:08,00463,0
36946896,650101,002,2015-02-28 00:00:00.000000000,18:21,00463,908464
36946897,650101,002,2015-02-28 00:00:00.000000000,18:35,00463,2044204
36946899,650101,002,2015-02-28 00:00:00.000000000,19:05,00463,1971735
36946928,65013,001,2015-02-28 00:00:00.000000000,13:39,06463,107101
36946930,65013,001,2015-02-28 00:00:00.000000000,13:49,06463,1813495
36946936,65013,001,2015-02-28 00:00:00.000000000,13:18,06463,2039645
36946937,65013,001,2015-02-28 00:00:00.000000000,13:44,06463,296643
36946940,65013,001,2015-02-28 00:00:00.000000000,17:41,06463,0
36946942,650131,002,2015-02-28 00:00:00.000000000,09:53,06463,2044293
36946944,650131,002,2015-02-28 00:00:00.000000000,11:27,06463,0
36946948,650131,002,2015-02-28 00:00:00.000000000,14:33,06463,0
36946954,65013,001,2015-02-28 00:00:00.000000000,13:12,06463,2039645
36946959,65013,001,2015-02-28 00:00:00.000000000,17:27,06463,1864148
36946960,65013,001,2015-02-28 00:00:00.000000000,17:35,06463,2025024
36946967,650131,002,2015-02-28 00:00:00.000000000,10:00,06463,2044292
36946968,650131,002,2015-02-28 00:00:00.000000000,10:36,06463,0
36946974,65013,001,2015-02-28 00:00:00.000000000,13:14,06463,2039645
36946976,65013,001,2015-02-28 00:00:00.000000000,17:53,06463,0
