TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36929869,65010,001,2015-02-27 00:00:00.000000000,18:40,07547,1124187
36929872,65010,001,2015-02-27 00:00:00.000000000,21:24,07547,182872
36929874,650101,002,2015-02-27 00:00:00.000000000,12:13,07547,195807
36929876,650101,002,2015-02-27 00:00:00.000000000,12:42,07547,1810866
36929877,650101,002,2015-02-27 00:00:00.000000000,15:15,07547,0
36929879,650101,002,2015-02-27 00:00:00.000000000,18:49,07547,2002132
36929880,650101,002,2015-02-27 00:00:00.000000000,20:18,07547,2034449
36929892,650101,002,2015-02-27 00:00:00.000000000,18:25,07547,60278
36929912,650101,002,2015-02-27 00:00:00.000000000,12:18,07547,0
36929914,650101,002,2015-02-27 00:00:00.000000000,12:49,07547,130234
36929917,650101,002,2015-02-27 00:00:00.000000000,18:15,07547,2043896
36929920,650101,002,2015-02-27 00:00:00.000000000,20:59,07547,0
36929926,65010,001,2015-02-27 00:00:00.000000000,20:12,07547,2043599
36929928,650101,002,2015-02-27 00:00:00.000000000,10:34,07547,425308
36929930,650101,002,2015-02-27 00:00:00.000000000,15:01,07547,25173
36929931,650101,002,2015-02-27 00:00:00.000000000,15:36,07547,395615
36929932,650101,002,2015-02-27 00:00:00.000000000,15:46,07547,2043895
36929933,650101,002,2015-02-27 00:00:00.000000000,16:51,07547,0
36929934,650101,002,2015-02-27 00:00:00.000000000,17:42,07547,2037881
36929937,650101,002,2015-02-27 00:00:00.000000000,18:55,07547,2043898
36929938,650101,002,2015-02-27 00:00:00.000000000,19:05,07547,0
36929941,650101,002,2015-02-27 00:00:00.000000000,20:15,07547,2034449
36929947,650101,002,2015-02-27 00:00:00.000000000,17:17,07547,0
36929950,650101,002,2015-02-27 00:00:00.000000000,19:48,07547,0
36929966,65010,001,2015-02-27 00:00:00.000000000,16:35,07547,705577
36929975,650101,002,2015-02-27 00:00:00.000000000,14:34,07547,0
36929981,650101,002,2015-02-27 00:00:00.000000000,18:08,07547,712504
36930071,65013,001,2015-02-27 00:00:00.000000000,16:35,06463,913009
36930072,65013,001,2015-02-27 00:00:00.000000000,17:01,06463,1995309
36930073,65013,001,2015-02-27 00:00:00.000000000,18:53,06463,239978
36930074,65013,001,2015-02-27 00:00:00.000000000,20:16,06463,0
36930078,650101,002,2015-02-27 00:00:00.000000000,18:52,07547,2002132
36930079,650101,002,2015-02-27 00:00:00.000000000,19:19,07547,309193
36930082,650101,002,2015-02-27 00:00:00.000000000,20:39,07547,933002
36930083,650101,002,2015-02-27 00:00:00.000000000,20:42,07547,0
36930105,65013,001,2015-02-27 00:00:00.000000000,17:08,06463,0
36930106,65013,001,2015-02-27 00:00:00.000000000,18:22,06463,0
36930107,65013,001,2015-02-27 00:00:00.000000000,20:15,06463,0
36930108,65013,001,2015-02-27 00:00:00.000000000,20:35,06463,0
36930111,650131,002,2015-02-27 00:00:00.000000000,10:13,05258,0
36930114,650131,002,2015-02-27 00:00:00.000000000,15:08,05258,2043613
36930115,650131,002,2015-02-27 00:00:00.000000000,19:20,06463,687183
36930118,65013,001,2015-02-27 00:00:00.000000000,16:28,06463,0
36930122,650131,002,2015-02-27 00:00:00.000000000,10:55,05258,0
36930123,650131,002,2015-02-27 00:00:00.000000000,11:05,05258,234294
36930124,650131,002,2015-02-27 00:00:00.000000000,11:11,05258,1954415
36930130,650131,002,2015-02-27 00:00:00.000000000,17:25,06463,1458805
36930132,650131,002,2015-02-27 00:00:00.000000000,19:03,06463,1999962
36930133,650131,002,2015-02-27 00:00:00.000000000,19:31,06463,0
36930141,65013,001,2015-02-27 00:00:00.000000000,16:49,06463,0
36930143,65013,001,2015-02-27 00:00:00.000000000,16:57,06463,0
36930144,65013,001,2015-02-27 00:00:00.000000000,20:30,06463,2043666
36930146,650131,002,2015-02-27 00:00:00.000000000,10:19,05258,2043667
36930147,650131,002,2015-02-27 00:00:00.000000000,10:24,05258,1780150
36930148,650131,002,2015-02-27 00:00:00.000000000,11:26,05258,2043614
36930149,650131,002,2015-02-27 00:00:00.000000000,11:31,05258,216060
36930150,650131,002,2015-02-27 00:00:00.000000000,12:21,05258,0
36930152,650131,002,2015-02-27 00:00:00.000000000,13:00,05258,2027556
36930158,65010,001,2015-02-27 00:00:00.000000000,21:15,07547,1991161
36930164,650101,002,2015-02-27 00:00:00.000000000,13:33,07547,1107078
36930165,650101,002,2015-02-27 00:00:00.000000000,13:52,07547,1797078
36930167,650101,002,2015-02-27 00:00:00.000000000,16:20,07547,2043897
36930168,650101,002,2015-02-27 00:00:00.000000000,16:56,07547,0
36930173,65010,001,2015-02-27 00:00:00.000000000,18:07,07547,2043896
36930176,65010,001,2015-02-27 00:00:00.000000000,18:51,07547,2043468
36930179,650101,002,2015-02-27 00:00:00.000000000,12:17,07547,414906
36930185,650101,002,2015-02-27 00:00:00.000000000,19:55,07547,1797874
36930186,650101,002,2015-02-27 00:00:00.000000000,20:38,07547,809775
36930212,650131,002,2015-02-27 00:00:00.000000000,10:28,05258,333777
36930213,650131,002,2015-02-27 00:00:00.000000000,12:03,05258,0
36930216,650131,002,2015-02-27 00:00:00.000000000,13:06,05258,1990030
36930218,650131,002,2015-02-27 00:00:00.000000000,15:05,05258,240850
36930223,650131,002,2015-02-27 00:00:00.000000000,18:11,06463,1904671
36930224,650131,002,2015-02-27 00:00:00.000000000,18:17,06463,0
36930226,650131,002,2015-02-27 00:00:00.000000000,20:42,06463,0
36930245,65013,001,2015-02-27 00:00:00.000000000,15:29,06463,0
36930248,65013,001,2015-02-27 00:00:00.000000000,20:38,06463,210694
36930249,650131,002,2015-02-27 00:00:00.000000000,19:39,06463,215680
36930250,650131,002,2015-02-27 00:00:00.000000000,19:45,06463,1786256
36930253,650131,002,2015-02-27 00:00:00.000000000,20:51,06463,672670
