barcode,cat_code,cat_desc,rng_code,rng_desc,sku_code,sku_desc,lifecycle_desc,contents_unit,contents_value,physical_height,physical_length,physical_width,physical_unit,weight_unit,weight_value
112590270, 10, FACIAL SKIN CARE/1, 100,VITAMIN C,0000000000010,VIT.C2 SKIN BOOST 60ML,UNKNOWN,,,2,2,2,Centimeter,Grams,196
1010000008,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000010,VIT.C SKIN BOOST 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,98
101000008,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000010,VIT.C SKIN BOOST 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,98
2000000000046,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000010,VIT.C SKIN BOOST 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,98
5028197245917,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000010,VIT.C SKIN BOOST 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,98
5028197290092,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000010,VIT.C SKIN BOOST 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,98
126000017,12,WOMENS FRAGRANCE/3,600,WHITE MUSK,0000000000009,NEW WHITE MUSK LUXURY SOAP 100GR,OBSOLETE ARTICLES,G,100.000,1,1,1,Centimeter,Grams,100
2000000004839,12,WOMENS FRAGRANCE/3,600,WHITE MUSK,0000000000009,NEW WHITE MUSK LUXURY SOAP 100GR,OBSOLETE ARTICLES,G,100.000,1,1,1,Centimeter,Grams,100
5028197253066,12,WOMENS FRAGRANCE/3,600,WHITE MUSK,0000000000009,NEW WHITE MUSK LUXURY SOAP 100GR,OBSOLETE ARTICLES,G,100.000,1,1,1,Centimeter,Grams,100
111060000,24,BATH AND SHOWER/26,261,ALOE VERA,0000000000011,ALOE VERA ANTI-PERSPIRANT DEODORANT 50ML,OBSOLETE ARTICLES,ML,50.000,1,1,1,Centimeter,Grams,87
2000000000039,24,BATH AND SHOWER/26,261,ALOE VERA,0000000000011,ALOE VERA ANTI-PERSPIRANT DEODORANT 50ML,OBSOLETE ARTICLES,ML,50.000,1,1,1,Centimeter,Grams,87
5028197258542,24,BATH AND SHOWER/26,261,ALOE VERA,0000000000011,ALOE VERA ANTI-PERSPIRANT DEODORANT 50ML,OBSOLETE ARTICLES,ML,50.000,1,1,1,Centimeter,Grams,87
101000016,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000012,VIT.C INTENS NIGHT TREAT 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,17
2000000000060,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000012,VIT.C INTENS NIGHT TREAT 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,17
5028197246143,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000012,VIT.C INTENS NIGHT TREAT 30ML,UNKNOWN,,,1,1,1,Centimeter,Grams,17
111060018,23,BODY CARE/25,261,ALOE VERA,0000000000013,NEW ALOE ANTI-PERSPIRANT DEODORANT 50ML,DISCON PRODUCT NON ORDERABLE,ML,50.000,11,4,4,Centimeter,Grams,79
2000000000077,23,BODY CARE/25,261,ALOE VERA,0000000000013,NEW ALOE ANTI-PERSPIRANT DEODORANT 50ML,DISCON PRODUCT NON ORDERABLE,ML,50.000,11,4,4,Centimeter,Grams,79
5028197257934,23,BODY CARE/25,261,ALOE VERA,0000000000013,NEW ALOE ANTI-PERSPIRANT DEODORANT 50ML,DISCON PRODUCT NON ORDERABLE,ML,50.000,11,4,4,Centimeter,Grams,79
5028197431198,23,BODY CARE/25,261,ALOE VERA,0000000000013,NEW ALOE ANTI-PERSPIRANT DEODORANT 50ML,DISCON PRODUCT NON ORDERABLE,ML,50.000,11,4,4,Centimeter,Grams,79
126000025,12,WOMENS FRAGRANCE/3,600,WHITE MUSK,0000000000014,NEW WHITE MUSK BATH & SHOWER GEL 200ML,OBSOLETE ARTICLES,ML,200.000,1,1,1,Centimeter,Grams,1
2000000000084,12,WOMENS FRAGRANCE/3,600,WHITE MUSK,0000000000014,NEW WHITE MUSK BATH & SHOWER GEL 200ML,OBSOLETE ARTICLES,ML,200.000,1,1,1,Centimeter,Grams,1
5028197373658,12,WOMENS FRAGRANCE/3,600,WHITE MUSK,0000000000014,NEW WHITE MUSK BATH & SHOWER GEL 200ML,OBSOLETE ARTICLES,ML,200.000,1,1,1,Centimeter,Grams,1
101000024,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000015,VIT.C SPF15 DAILY MOIST 50ML,UNKNOWN,,,1,1,1,Centimeter,Grams,73
2000000000091,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000015,VIT.C SPF15 DAILY MOIST 50ML,UNKNOWN,,,1,1,1,Centimeter,Grams,73
5028197137021,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000015,VIT.C SPF15 DAILY MOIST 50ML,UNKNOWN,,,1,1,1,Centimeter,Grams,73
5028197246747,10,FACIAL SKIN CARE/1,100,VITAMIN C,0000000000015,VIT.C SPF15 DAILY MOIST 50ML,UNKNOWN,,,1,1,1,Centimeter,Grams,73
